player_name,pitcher,season,pitch_type,pitch_group,n_pitches,stuff_plus
"deGrom, Jacob",594798,2026,CU,breaking,51,122.2
"Loáisiga, Jonathan",642528,2026,CU,breaking,74,122.1
"Arrighetti, Spencer",681293,2026,CU,breaking,212,120.7
"Dollander, Chase",801403,2026,CU,breaking,75,119.2
"Maton, Phil",664208,2026,CU,breaking,101,118.8
"Vásquez, Randy",681190,2026,CU,breaking,145,115.7
"Roupp, Landen",694738,2026,CU,breaking,320,115.7
"Painter, Andrew",691725,2026,CU,breaking,80,115.1
"Pérez, Eury",691587,2026,CU,breaking,78,113.6
"Morgan, David",688158,2026,CU,breaking,89,112.2
"Detmers, Reid",672282,2026,CU,breaking,114,112.1
"Fried, Max",608331,2026,CU,breaking,138,111.9
"May, Dustin",669160,2026,CU,breaking,71,110.1
"Prielipp, Connor",687570,2026,CU,breaking,78,109.5
"Glasnow, Tyler",607192,2026,CU,breaking,58,108.5
"Strider, Spencer",675911,2026,CU,breaking,76,108.1
"Martin, Davis",663436,2026,CU,breaking,111,107.9
"Yamamoto, Yoshinobu",808967,2026,CU,breaking,132,107.9
"Mlodzinski, Carmen",669387,2026,CU,breaking,103,107.8
"Montgomery, Mason",682254,2026,CU,breaking,67,107.5
"Misiorowski, Jacob",694819,2026,CU,breaking,131,107.5
"Gibson, Cade",806188,2026,CU,breaking,53,107.2
"Valdez, Framber",664285,2026,CU,breaking,321,107.2
"Irvin, Jake",663623,2026,CU,breaking,251,107.2
"Herrin, Tim",682120,2026,CU,breaking,102,107.1
"Ashby, Aaron",676879,2026,CU,breaking,120,107.1
"Bassitt, Chris",605135,2026,CU,breaking,227,106.8
"McClanahan, Shane",663556,2026,CU,breaking,113,106.7
"Pérez, Cionel",672335,2026,CU,breaking,112,106.0
"Taylor, Grant",691799,2026,CU,breaking,114,105.7
"Johnson, Pierce",572955,2026,CU,breaking,267,105.7
"Holmes, Clay",605280,2026,CU,breaking,73,105.7
"Sheehan, Emmet",686218,2026,CU,breaking,87,105.5
"Lodolo, Nick",666157,2026,CU,breaking,120,105.4
"Tolle, Payton",801139,2026,CU,breaking,63,105.4
"Leiter Jr., Mark",643410,2026,CU,breaking,75,105.1
"Garcia, Rico",670329,2026,CU,breaking,68,105.0
"McLean, Nolan",690997,2026,CU,breaking,122,104.9
"Bednar, David",670280,2026,CU,breaking,126,104.8
"Liberatore, Matthew",669461,2026,CU,breaking,137,104.7
"Schlittler, Cam",693645,2026,CU,breaking,77,104.5
"Abbott, Andrew",671096,2026,CU,breaking,153,104.5
"Snelling, Robby",702281,2026,CU,breaking,52,104.5
"Holmes, Grant",656550,2026,CU,breaking,96,104.4
"Graceffo, Gordon",700669,2026,CU,breaking,62,104.1
"Teng, Kai-Wei",678906,2026,CU,breaking,58,104.0
"Miles, Spencer",693686,2026,CU,breaking,126,103.9
"Faucher, Calvin",676534,2026,CU,breaking,60,103.9
"Williamson, Brandon",682227,2026,CU,breaking,61,103.7
"Ritchie, JR",702275,2026,CU,breaking,123,103.6
"Waldichuk, Ken",686610,2026,CU,breaking,67,103.3
"Leiter, Jack",683004,2026,CU,breaking,84,103.2
"Cabrera, Edward",665795,2026,CU,breaking,187,103.1
"Ashcraft, Braxton",677952,2026,CU,breaking,263,103.1
"Sproat, Brandon",687075,2026,CU,breaking,100,102.9
"Ramírez, Yohan",670990,2026,CU,breaking,74,102.9
"Leahy, Kyle",681517,2026,CU,breaking,140,102.8
"Young, Brandon",687064,2026,CU,breaking,62,102.6
"Peterson, David",656849,2026,CU,breaking,132,102.5
"Alvarez, Andrew",674841,2026,CU,breaking,62,102.3
"Gore, MacKenzie",669022,2026,CU,breaking,244,102.2
"Lugo, Seth",607625,2026,CU,breaking,160,102.1
"Abel, Mick",690953,2026,CU,breaking,63,101.6
"Baumler, Carter",691945,2026,CU,breaking,71,101.3
"Nance, Tommy",667297,2026,CU,breaking,112,101.2
"Bradish, Kyle",680694,2026,CU,breaking,247,101.0
"Peralta, Freddy",642547,2026,CU,breaking,120,101.0
"Eovaldi, Nathan",543135,2026,CU,breaking,189,100.9
"Lorenzen, Michael",547179,2026,CU,breaking,148,100.8
"Scherzer, Max",453286,2026,CU,breaking,54,100.7
"Phillips, Tyler",663969,2026,CU,breaking,101,100.6
"Parker, Mitchell",680730,2026,CU,breaking,76,100.4
"Harris, Hogan",663687,2026,CU,breaking,117,100.2
"Fisher, Braydon",680755,2026,CU,breaking,139,100.1
"Bello, Brayan",678394,2026,CU,breaking,71,100.1
"Povich, Cade",700249,2026,CU,breaking,69,100.1
"Smith, Shane",681343,2026,CU,breaking,65,100.0
"Pfaadt, Brandon",694297,2026,CU,breaking,127,99.9
"Gilbert, Logan",669302,2026,CU,breaking,115,99.6
"Sabrowski, Erik",681870,2026,CU,breaking,82,99.5
"Kelly, Merrill",518876,2026,CU,breaking,93,99.5
"Bibee, Tanner",676440,2026,CU,breaking,126,99.0
"Klein, Will",694361,2026,CU,breaking,73,98.9
"Pallette, Peyton",688883,2026,CU,breaking,109,98.9
"Barlow, Scott",605130,2026,CU,breaking,132,98.8
"Watson, Ryan",670245,2026,CU,breaking,85,98.8
"Rodriguez, Eduardo",593958,2026,CU,breaking,112,98.4
"Williams, Gavin",668909,2026,CU,breaking,245,98.1
"Mantiply, Joe",573009,2026,CU,breaking,78,97.8
"Quintana, Jose",500779,2026,CU,breaking,116,97.6
"Pérez, Martín",527048,2026,CU,breaking,82,97.4
"Messick, Parker",800048,2026,CU,breaking,133,97.2
"Ohtani, Shohei",660271,2026,CU,breaking,104,97.2
"Gordon, Tanner",685299,2026,CU,breaking,60,97.2
"Houser, Adrian",605288,2026,CU,breaking,80,97.1
"Hall, DL",669084,2026,CU,breaking,80,96.7
"López, Reynaldo",625643,2026,CU,breaking,76,96.5
"Bradley, Taj",671737,2026,CU,breaking,103,96.2
"Pivetta, Nick",601713,2026,CU,breaking,63,96.2
"Sisk, Evan",681895,2026,CU,breaking,96,96.1
"Drohan, Shane",675660,2026,CU,breaking,52,96.0
"Cecconi, Slade",677944,2026,CU,breaking,150,95.9
"Nelson, Ryne",669194,2026,CU,breaking,101,95.7
"Gray, Sonny",543243,2026,CU,breaking,158,95.7
"Kinley, Tyler",641755,2026,CU,breaking,70,95.2
"Civale, Aaron",650644,2026,CU,breaking,232,95.0
"Walker, Taijuan",592836,2026,CU,breaking,57,94.4
"Bernardino, Brennan",657514,2026,CU,breaking,111,94.4
"Cameron, Noah",702070,2026,CU,breaking,128,94.3
"Smith, Burch",572143,2026,CU,breaking,75,94.2
"Cantillo, Joey",676282,2026,CU,breaking,192,94.2
"Early, Connelly",813349,2026,CU,breaking,122,93.6
"Mikolas, Miles",571945,2026,CU,breaking,130,93.5
"Wacha, Michael",608379,2026,CU,breaking,105,93.1
"Matz, Steven",571927,2026,CU,breaking,65,92.8
"Anderson, Drew",623454,2026,CU,breaking,129,92.4
"Burrows, Mike",681347,2026,CU,breaking,143,92.4
"Suarez, Ranger",624133,2026,CU,breaking,122,91.8
"Griffin, Foster",656492,2026,CU,breaking,100,89.2
"McGreevy, Michael",700241,2026,CU,breaking,119,89.2
"Junk, Janson",676083,2026,CU,breaking,79,88.9
"Taillon, Jameson",592791,2026,CU,breaking,118,88.4
"Woods Richardson, Simeon",680573,2026,CU,breaking,52,87.7
"Bummer, Aaron",607481,2026,CU,breaking,72,87.5
"Keller, Mitch",656605,2026,CU,breaking,87,87.3
"Lauer, Eric",641778,2026,CU,breaking,79,86.9
"Sugano, Tomoyuki",608372,2026,CU,breaking,58,86.8
"Martinez, Nick",607259,2026,CU,breaking,76,86.2
"Rea, Colin",607067,2026,CU,breaking,67,85.8
"Paddack, Chris",663978,2026,CU,breaking,85,85.0
"Wrobleski, Justin",680736,2026,CU,breaking,51,80.6
