player_name,pitcher,season,pitch_type,pitch_group,n_pitches,stuff_plus
"Faucher, Calvin",676534,2026,FC,fastball,175,125.2
"Ashcraft, Graham",668933,2026,FC,fastball,249,119.4
"Alvarado, José",621237,2026,FC,fastball,133,116.0
"Svanson, Matt",694335,2026,FC,fastball,108,115.8
"Roberts, Ethan",681799,2026,FC,fastball,93,115.1
"Fluharty, Mason",689254,2026,FC,fastball,193,115.1
"Coulombe, Danny",543056,2026,FC,fastball,68,114.9
"Crochet, Garrett",676979,2026,FC,fastball,151,114.9
"Vásquez, Randy",681190,2026,FC,fastball,271,114.5
"Doval, Camilo",666808,2026,FC,fastball,109,113.6
"Senzatela, Antonio",622608,2026,FC,fastball,137,113.3
"Schlittler, Cam",693645,2026,FC,fastball,313,111.8
"Drohan, Shane",675660,2026,FC,fastball,88,111.3
"Kay, Anthony",641743,2026,FC,fastball,215,111.3
"Rasmussen, Drew",656876,2026,FC,fastball,306,110.6
"Civale, Aaron",650644,2026,FC,fastball,350,110.4
"Bibee, Tanner",676440,2026,FC,fastball,315,110.1
"Schultz, Noah",702273,2026,FC,fastball,120,110.0
"Fried, Max",608331,2026,FC,fastball,218,110.0
"De Jesus, Enmanuel",646241,2026,FC,fastball,74,109.9
"Taillon, Jameson",592791,2026,FC,fastball,218,109.5
"Gray, Sonny",543243,2026,FC,fastball,193,108.9
"Wells, Tyler",669330,2026,FC,fastball,97,108.8
"Williams, Gavin",668909,2026,FC,fastball,104,108.7
"Raley, Brooks",548384,2026,FC,fastball,61,108.5
"Ginn, J.T.",669372,2026,FC,fastball,158,108.4
"Webb, Logan",657277,2026,FC,fastball,67,107.4
"Kuhnel, Joel",669270,2026,FC,fastball,84,107.2
"Sugano, Tomoyuki",608372,2026,FC,fastball,116,106.9
"Senga, Kodai",673540,2026,FC,fastball,92,106.9
"Slaten, Justin",686580,2026,FC,fastball,99,106.6
"Martin, Davis",663436,2026,FC,fastball,144,106.6
"Lorenzen, Michael",547179,2026,FC,fastball,132,106.2
"Holton, Tyler",663947,2026,FC,fastball,146,106.1
"May, Dustin",669160,2026,FC,fastball,210,106.1
"Gasser, Robert",688107,2026,FC,fastball,60,106.1
"Schreiber, John",670167,2026,FC,fastball,69,105.3
"Morán, Jovani",663558,2026,FC,fastball,81,105.3
"Bolton, Cody",675989,2026,FC,fastball,93,105.2
"Maton, Phil",664208,2026,FC,fastball,160,105.1
"Bello, Brayan",678394,2026,FC,fastball,165,105.0
"Burke, Sean",680732,2026,FC,fastball,58,104.7
"McLean, Nolan",690997,2026,FC,fastball,94,104.5
"Cruz, Steven",674444,2026,FC,fastball,74,104.5
"Rocker, Kumar",677958,2026,FC,fastball,87,104.5
"Ritchie, JR",702275,2026,FC,fastball,55,104.1
"Soroka, Michael",647336,2026,FC,fastball,132,103.8
"Pfaadt, Brandon",694297,2026,FC,fastball,81,103.4
"Winn, Cole",668390,2026,FC,fastball,114,103.3
"Henderson, Logan",701656,2026,FC,fastball,74,103.2
"Wheeler, Zack",554430,2026,FC,fastball,66,102.9
"Holmes, Grant",656550,2026,FC,fastball,53,102.9
"Johnson, Ryan",696270,2026,FC,fastball,106,102.8
"Yamamoto, Yoshinobu",808967,2026,FC,fastball,155,102.7
"Patrick, Chad",694477,2026,FC,fastball,336,102.6
"Leiter, Jack",683004,2026,FC,fastball,114,102.6
"Collyer, Gavin",686560,2026,FC,fastball,108,102.5
"Williamson, Brandon",682227,2026,FC,fastball,178,102.5
"Keller, Mitch",656605,2026,FC,fastball,61,102.4
"Gómez, Yoendrys",672782,2026,FC,fastball,67,101.9
"Fairbanks, Pete",664126,2026,FC,fastball,79,101.7
"Martin, Chris",455119,2026,FC,fastball,73,101.6
"Bradley, Taj",671737,2026,FC,fastball,194,101.0
"Irvin, Jake",663623,2026,FC,fastball,110,100.8
"Scott, Christian",681035,2026,FC,fastball,90,100.8
"Kolek, Stephen",663568,2026,FC,fastball,51,100.6
"Freeland, Kyle",607536,2026,FC,fastball,131,100.6
"Holmes, Clay",605280,2026,FC,fastball,58,100.6
"Corbin, Patrick",571578,2026,FC,fastball,133,100.5
"Shugart, Chase",663767,2026,FC,fastball,87,100.4
"Mahle, Tyler",641816,2026,FC,fastball,158,100.2
"Kelly, Zack",677161,2026,FC,fastball,144,100.2
"Crow, Coleman",689441,2026,FC,fastball,51,100.1
"Blackburn, Paul",621112,2026,FC,fastball,130,100.1
"Alcantara, Sandy",645261,2026,FC,fastball,95,100.0
"Hancock, Emerson",676106,2026,FC,fastball,135,99.8
"Severino, Luis",622663,2026,FC,fastball,239,99.7
"Clarke, Taylor",664199,2026,FC,fastball,71,99.3
"Agnos, Zach",688642,2026,FC,fastball,166,99.1
"Walker, Taijuan",592836,2026,FC,fastball,96,99.1
"Marinaccio, Ron",676760,2026,FC,fastball,107,98.6
"Tolle, Payton",801139,2026,FC,fastball,95,98.2
"Smith, Burch",572143,2026,FC,fastball,68,98.2
"Lambert, Peter",663567,2026,FC,fastball,75,98.0
"Quantrill, Cal",615698,2026,FC,fastball,94,97.9
"Kelly, Merrill",518876,2026,FC,fastball,126,97.9
"Pagán, Emilio",641941,2026,FC,fastball,52,97.5
"Criswell, Cooper",681867,2026,FC,fastball,99,97.5
"Sproat, Brandon",687075,2026,FC,fastball,207,97.5
"Roupp, Landen",694738,2026,FC,fastball,147,97.3
"Cecconi, Slade",677944,2026,FC,fastball,257,97.3
"Baz, Shane",669358,2026,FC,fastball,213,97.2
"Sterner, Justin",686993,2026,FC,fastball,128,97.2
"Lugo, Seth",607625,2026,FC,fastball,171,97.0
"Armstrong, Shawn",542888,2026,FC,fastball,53,96.9
"Bernardino, Brennan",657514,2026,FC,fastball,55,96.8
"Rogers, Taylor",573124,2026,FC,fastball,80,96.5
"Rogers, Trevor",669432,2026,FC,fastball,106,96.4
"McGreevy, Michael",700241,2026,FC,fastball,120,96.2
"Cameron, Noah",702070,2026,FC,fastball,163,96.1
"Eovaldi, Nathan",543135,2026,FC,fastball,199,95.8
"Woodford, Jake",663765,2026,FC,fastball,132,95.5
"Jansen, Kenley",445276,2026,FC,fastball,227,95.3
"Thornton, Zach",804267,2026,FC,fastball,66,95.3
"Suarez, Robert",663158,2026,FC,fastball,55,95.2
"Buehler, Walker",621111,2026,FC,fastball,219,94.4
"Weaver, Luke",596133,2026,FC,fastball,59,94.1
"Woodruff, Brandon",605540,2026,FC,fastball,64,94.0
"McCullers Jr., Lance",621121,2026,FC,fastball,205,93.8
"Topa, Justin",623437,2026,FC,fastball,106,93.5
"Gilbert, Logan",669302,2026,FC,fastball,111,93.3
"Fedde, Erick",607200,2026,FC,fastball,200,93.3
"Martinez, Nick",607259,2026,FC,fastball,196,93.3
"Funderburk, Kody",681892,2026,FC,fastball,90,92.7
"Gore, MacKenzie",669022,2026,FC,fastball,86,92.5
"Bellozo, Valente",678368,2026,FC,fastball,55,92.3
"Morris, Andrew",702193,2026,FC,fastball,54,92.1
"Nola, Aaron",605400,2026,FC,fastball,94,92.0
"Nelson, Ryne",669194,2026,FC,fastball,93,91.7
"Watson, Ryan",670245,2026,FC,fastball,129,91.0
"Suárez, Albert",544150,2026,FC,fastball,78,90.7
"Rodriguez, Eduardo",593958,2026,FC,fastball,148,90.6
"Alexander, Tyler",641302,2026,FC,fastball,103,90.3
"Kikuchi, Yusei",579328,2026,FC,fastball,62,89.6
"Assad, Javier",665871,2026,FC,fastball,78,89.4
"Singer, Brady",663903,2026,FC,fastball,50,89.4
"Elder, Bryce",693821,2026,FC,fastball,113,89.3
"Waldron, Matt",663362,2026,FC,fastball,86,89.2
"Sulser, Cole",642121,2026,FC,fastball,57,89.2
"Griffin, Foster",656492,2026,FC,fastball,326,88.9
"Bassitt, Chris",605135,2026,FC,fastball,214,88.4
"Schultz, Paxton",687606,2026,FC,fastball,142,87.4
"Lauer, Eric",641778,2026,FC,fastball,112,86.9
"Lopez, Jacob",682052,2026,FC,fastball,198,86.9
"Wacha, Michael",608379,2026,FC,fastball,184,86.1
"Pérez, Martín",527048,2026,FC,fastball,164,85.6
"Suarez, Ranger",624133,2026,FC,fastball,186,85.2
"Yarbrough, Ryan",642232,2026,FC,fastball,118,85.2
"Rea, Colin",607067,2026,FC,fastball,79,84.4
"Paddack, Chris",663978,2026,FC,fastball,99,82.3
"Farris, Mitch",815083,2026,FC,fastball,59,78.9
"Messick, Parker",800048,2026,FC,fastball,108,78.6
"Myers, Tobias",668964,2026,FC,fastball,55,77.5
