player_name,pitcher,season,pitch_type,pitch_group,n_pitches,stuff_plus
"Megill, Trevor",656730,2026,KC,breaking,139,118.5
"Varland, Louis",686973,2026,KC,breaking,145,118.5
"Nola, Aaron",605400,2026,KC,breaking,345,114.8
"Ryan, Joe",657746,2026,KC,breaking,153,112.3
"Brown, Ben",676962,2026,KC,breaking,278,111.6
"Pomeranz, Drew",519141,2026,KC,breaking,87,105.8
"Ray, Robbie",592662,2026,KC,breaking,92,103.3
"Montero, Keider",672456,2026,KC,breaking,111,103.1
"Baz, Shane",669358,2026,KC,breaking,378,102.9
"Kirby, George",669923,2026,KC,breaking,117,102.0
"Gallen, Zac",668678,2026,KC,breaking,198,101.6
"Freeland, Kyle",607536,2026,KC,breaking,184,101.1
"Ragans, Cole",666142,2026,KC,breaking,64,100.2
"McCullers Jr., Lance",621121,2026,KC,breaking,112,100.1
"Márquez, Germán",608566,2026,KC,breaking,256,99.8
"Burke, Sean",680732,2026,KC,breaking,241,99.6
"Buehler, Walker",621111,2026,KC,breaking,139,98.8
"Cavalli, Cade",676917,2026,KC,breaking,317,98.6
"Brown, Hunter",686613,2026,KC,breaking,59,97.9
"Soriano, José",667755,2026,KC,breaking,250,97.6
"Kilian, Caleb",668873,2026,KC,breaking,102,97.0
"Cease, Dylan",656302,2026,KC,breaking,105,96.9
"Flaherty, Jack",656427,2026,KC,breaking,210,96.5
"Pallante, Andre",669467,2026,KC,breaking,174,93.9
"Glasnow, Tyler",607192,2026,KC,breaking,179,81.1
