player_name,pitcher,season,pitch_type,pitch_group,n_pitches,stuff_plus
"Bender, Anthony",669622,2026,ST,breaking,169,116.2
"Ohtani, Shohei",660271,2026,ST,breaking,241,115.9
"King, Michael",650633,2026,ST,breaking,219,115.8
"Javier, Cristian",664299,2026,ST,breaking,78,115.8
"Woo, Bryan",693433,2026,ST,breaking,154,113.2
"Sproat, Brandon",687075,2026,ST,breaking,78,112.9
"Domínguez, Seranthony",622554,2026,ST,breaking,124,112.9
"Fried, Max",608331,2026,ST,breaking,100,112.8
"Warren, Will",701542,2026,ST,breaking,232,111.9
"Holderman, Colin",670059,2026,ST,breaking,118,111.6
"Soriano, George",666277,2026,ST,breaking,50,111.3
"Bird, Jake",656234,2026,ST,breaking,130,111.0
"Ryan, Joe",657746,2026,ST,breaking,148,110.6
"Bido, Osvaldo",674370,2026,ST,breaking,76,110.6
"Phillips, Connor",683175,2026,ST,breaking,289,110.5
"Herget, Jimmy",623474,2026,ST,breaking,101,110.4
"Schultz, Noah",702273,2026,ST,breaking,142,110.4
"Lawrence, Justin",664875,2026,ST,breaking,164,110.1
"Kerkering, Orion",689147,2026,ST,breaking,160,110.1
"Topa, Justin",623437,2026,ST,breaking,74,110.1
"Svanson, Matt",694335,2026,ST,breaking,161,110.1
"Raley, Brooks",548384,2026,ST,breaking,148,109.9
"May, Dustin",669160,2026,ST,breaking,183,109.8
"Roberts, Ethan",681799,2026,ST,breaking,81,109.6
"García, Luis",472610,2026,ST,breaking,64,109.5
"Severino, Luis",622663,2026,ST,breaking,268,109.1
"Hancock, Emerson",676106,2026,ST,breaking,220,109.1
"Blubaugh, AJ",805123,2026,ST,breaking,127,109.1
"Alexander, Tyler",641302,2026,ST,breaking,59,109.1
"Manaea, Sean",640455,2026,ST,breaking,229,108.8
"Yarbrough, Ryan",642232,2026,ST,breaking,77,108.8
"Watson, Ryan",670245,2026,ST,breaking,113,108.7
"Kelly, Michael",547184,2026,ST,breaking,64,108.6
"Keller, Brad",641745,2026,ST,breaking,53,108.5
"Zeferjahn, Ryan",666171,2026,ST,breaking,181,108.4
"Pfaadt, Brandon",694297,2026,ST,breaking,94,108.4
"Teng, Kai-Wei",678906,2026,ST,breaking,219,108.3
"Sugano, Tomoyuki",608372,2026,ST,breaking,103,108.2
"Johnson, Ryan",696270,2026,ST,breaking,57,108.2
"Soto, Gregory",642397,2026,ST,breaking,102,108.1
"Nardi, Andrew",677053,2026,ST,breaking,111,107.9
"Williamson, Brandon",682227,2026,ST,breaking,72,107.8
"Banks, Tanner",621383,2026,ST,breaking,92,107.8
"King, Bryan",687911,2026,ST,breaking,130,107.8
"Rogers, Taylor",573124,2026,ST,breaking,181,107.2
"Rea, Colin",607067,2026,ST,breaking,79,107.2
"Silseth, Chase",681217,2026,ST,breaking,56,107.2
"Poulin, PJ",676571,2026,ST,breaking,171,107.2
"Buehler, Walker",621111,2026,ST,breaking,79,107.2
"Faucher, Calvin",676534,2026,ST,breaking,76,107.1
"Lugo, Seth",607625,2026,ST,breaking,102,107.1
"Kelly, Zack",677161,2026,ST,breaking,67,106.9
"Singer, Brady",663903,2026,ST,breaking,110,106.7
"Tidwell, Blade",694918,2026,ST,breaking,80,106.7
"Waldron, Matt",663362,2026,ST,breaking,70,106.4
"Sisk, Evan",681895,2026,ST,breaking,66,106.4
"Seymour, Ian",693855,2026,ST,breaking,89,106.4
"Holton, Tyler",663947,2026,ST,breaking,78,106.3
"Romero, JoJo",668941,2026,ST,breaking,164,106.2
"McCullers Jr., Lance",621121,2026,ST,breaking,121,105.9
"Jax, Griffin",643377,2026,ST,breaking,128,105.9
"Skenes, Paul",694973,2026,ST,breaking,166,105.9
"Armstrong, Shawn",542888,2026,ST,breaking,87,105.6
"Maton, Phil",664208,2026,ST,breaking,58,105.6
"Barlow, Scott",605130,2026,ST,breaking,139,105.6
"Sewald, Paul",623149,2026,ST,breaking,151,105.6
"Legumina, Casey",668984,2026,ST,breaking,81,105.6
"Gasser, Robert",688107,2026,ST,breaking,60,105.6
"Gómez, Yoendrys",672782,2026,ST,breaking,96,105.6
"Gordon, Colton",676467,2026,ST,breaking,59,105.6
"Anderson, Grant",681982,2026,ST,breaking,129,105.6
"Scott, Christian",681035,2026,ST,breaking,80,105.6
"Pérez, Eury",691587,2026,ST,breaking,167,105.6
"Collyer, Gavin",686560,2026,ST,breaking,63,105.5
"Rogers, Trevor",669432,2026,ST,breaking,84,105.4
"McLean, Nolan",690997,2026,ST,breaking,167,105.2
"Hurter, Brant",676428,2026,ST,breaking,106,105.1
"Holmes, Clay",605280,2026,ST,breaking,157,104.6
"Weissert, Greg",669711,2026,ST,breaking,74,104.3
"Schreiber, John",670167,2026,ST,breaking,99,104.0
"Samaniego, Tyler",701719,2026,ST,breaking,53,103.9
"Cavalli, Cade",676917,2026,ST,breaking,124,103.8
"Payamps, Joel",606303,2026,ST,breaking,97,103.5
"Cease, Dylan",656302,2026,ST,breaking,66,103.2
"Nunez, Anthony",689296,2026,ST,breaking,109,103.2
"Morris, Andrew",702193,2026,ST,breaking,77,102.7
"Mejia, Juan",675848,2026,ST,breaking,214,102.7
"Keller, Mitch",656605,2026,ST,breaking,200,102.5
"Morales, Luis",806960,2026,ST,breaking,66,102.1
"Criswell, Cooper",681867,2026,ST,breaking,79,101.8
"Wheeler, Zack",554430,2026,ST,breaking,66,101.8
"Moll, Sam",594580,2026,ST,breaking,164,101.7
"Hall, DL",669084,2026,ST,breaking,53,101.4
"Irvin, Jake",663623,2026,ST,breaking,80,101.3
"Leahy, Kyle",681517,2026,ST,breaking,120,101.2
"Taillon, Jameson",592791,2026,ST,breaking,154,100.9
"Gibson, Cade",806188,2026,ST,breaking,58,100.8
"Bachar, Lake",669199,2026,ST,breaking,81,100.7
"Smith, Cade",671922,2026,ST,breaking,66,100.1
"Abbott, Andrew",671096,2026,ST,breaking,219,99.3
"Arrighetti, Spencer",681293,2026,ST,breaking,96,98.1
"Sterner, Justin",686993,2026,ST,breaking,124,97.9
"Backhus, Kyle",679775,2026,ST,breaking,61,96.9
"Antone, Tejay",622088,2026,ST,breaking,67,96.7
"Painter, Andrew",691725,2026,ST,breaking,103,96.2
"Perkins, Jack",678022,2026,ST,breaking,143,95.5
"Treinen, Blake",595014,2026,ST,breaking,147,94.7
"Ramírez, Yohan",670990,2026,ST,breaking,187,94.6
"Gray, Sonny",543243,2026,ST,breaking,141,94.6
"Junk, Janson",676083,2026,ST,breaking,145,94.3
"Griffin, Foster",656492,2026,ST,breaking,162,94.2
"Hudson, Bryan",663542,2026,ST,breaking,110,94.2
"Freeland, Kyle",607536,2026,ST,breaking,133,93.8
"Littell, Zack",641793,2026,ST,breaking,79,93.5
"Kirby, George",669923,2026,ST,breaking,315,93.3
"Fluharty, Mason",689254,2026,ST,breaking,147,93.3
"Bruihl, Justin",677865,2026,ST,breaking,164,92.8
"Festa, Matt",670036,2026,ST,breaking,184,92.6
"Shugart, Chase",663767,2026,ST,breaking,80,92.5
"Milner, Hoby",571948,2026,ST,breaking,102,92.4
"Crochet, Garrett",676979,2026,ST,breaking,89,92.4
"Early, Connelly",813349,2026,ST,breaking,59,92.0
"Ureña, Walbert",700712,2026,ST,breaking,88,92.0
"Meyer, Max",676974,2026,ST,breaking,254,91.7
"Weathers, Ryan",677960,2026,ST,breaking,218,91.4
"Paddack, Chris",663978,2026,ST,breaking,80,91.3
"Weiss, Ryan",680802,2026,ST,breaking,182,91.3
"McGreevy, Michael",700241,2026,ST,breaking,115,91.3
"Scholtens, Jesse",669947,2026,ST,breaking,61,91.3
"Coulombe, Danny",543056,2026,ST,breaking,53,91.3
"Lovelady, Richard",663992,2026,ST,breaking,181,91.1
"Ober, Bailey",641927,2026,ST,breaking,109,91.1
"Springs, Jeffrey",605488,2026,ST,breaking,85,91.1
"Bubic, Kris",663460,2026,ST,breaking,139,91.0
"Cecconi, Slade",677944,2026,ST,breaking,87,91.0
"Bassitt, Chris",605135,2026,ST,breaking,60,91.0
"O'Brien, Riley",676617,2026,ST,breaking,124,90.8
"Williams, Gavin",668909,2026,ST,breaking,322,90.8
"Agnos, Zach",688642,2026,ST,breaking,95,90.7
"Luzardo, Jesús",666200,2026,ST,breaking,412,90.5
"Warren, Austin",681810,2026,ST,breaking,156,90.0
"Funderburk, Kody",681892,2026,ST,breaking,57,89.9
"Bummer, Aaron",607481,2026,ST,breaking,53,89.9
"Bazardo, Eduard",660825,2026,ST,breaking,136,89.9
"Kay, Anthony",641743,2026,ST,breaking,224,89.6
"Fedde, Erick",607200,2026,ST,breaking,348,89.6
"Imanaga, Shota",684007,2026,ST,breaking,147,89.6
"Chandler, Bubba",696149,2026,ST,breaking,67,89.5
"Phillips, Tyler",663969,2026,ST,breaking,145,88.8
"Mlodzinski, Carmen",669387,2026,ST,breaking,80,88.7
"Mikolas, Miles",571945,2026,ST,breaking,58,88.6
"Klein, Will",694361,2026,ST,breaking,99,88.5
"Hicks, Jordan",663855,2026,ST,breaking,136,88.4
"Hart, Kyle",606996,2026,ST,breaking,89,88.2
"Feltner, Ryan",663372,2026,ST,breaking,61,88.2
"Bello, Brayan",678394,2026,ST,breaking,104,88.1
"Alcantara, Sandy",645261,2026,ST,breaking,98,87.1
"Henry, Cole",669371,2026,ST,breaking,63,86.4
"Webb, Logan",657277,2026,ST,breaking,169,86.2
"Senga, Kodai",673540,2026,ST,breaking,50,86.0
"Lorenzen, Michael",547179,2026,ST,breaking,93,85.5
"Lord, Brad",695418,2026,ST,breaking,77,37.8
