pitcher,player_name,pitch_type,stuff_plus_career,total_pitches
596112,"Stephenson, Robert",FC,136.6,412
642207,"Williams, Devin",CH,133.6,2763
642585,"Bautista, Félix",SI,130.5,1661
623352,"Hader, Josh",SI,130.3,3396
621242,"Díaz, Edwin",SL,129.7,2033
666142,"Ragans, Cole",CH,128.1,1716
608371,"Sims, Lucas",FC,127.8,137
683618,"Henriquez, Edgardo",SI,127.7,181
660813,"Graterol, Brusdar",SI,127.1,1156
594798,"deGrom, Jacob",SL,126.4,2338
694819,"Misiorowski, Jacob",FF,126.0,1391
554430,"Wheeler, Zack",FF,125.8,6690
643511,"Rogers, Tyler",SI,125.6,3386
676508,"Casparius, Ben",FC,125.5,274
642528,"Loáisiga, Jonathan",SI,125.3,1720
592761,"Smith, Caleb",CH,124.5,578
695243,"Miller, Mason",FF,124.5,1694
676534,"Faucher, Calvin",FC,124.4,1100
676051,"Heuer, Codi",CH,124.3,217
676440,"Bibee, Tanner",FC,124.3,2402
661403,"Clase, Emmanuel",SL,124.1,1500
691799,"Taylor, Grant",FF,124.0,609
596112,"Stephenson, Robert",CU,123.7,151
544365,"Banuelos, Manny",CU,123.6,235
661403,"Clase, Emmanuel",FC,123.4,3446
642528,"Loáisiga, Jonathan",CU,122.7,550
547973,"Chapman, Aroldis",SI,122.3,988
801139,"Tolle, Payton",SI,122.3,129
594798,"deGrom, Jacob",FF,122.2,3095
666661,"Morillo, Juan",SI,122.1,173
686560,"Collyer, Gavin",FF,121.7,62
664747,"Díaz, Alexis",FF,121.7,2007
660604,"Rangel, Alan",CH,121.7,54
456713,"Bush, Matt",CU,121.6,396
593334,"Germán, Domingo",CU,121.5,1742
607644,"Means, John",CH,121.5,838
554430,"Wheeler, Zack",SI,121.3,2855
519076,"Nelson, Jimmy",SL,121.2,169
666711,"Peguero, Joel",SL,120.7,104
664854,"Helsley, Ryan",SL,120.6,1817
689690,"Jacob, Alek",FF,120.6,247
650911,"Sánchez, Cristopher",CH,120.4,3241
671305,"Otañez, Michel",SL,120.3,247
594798,"deGrom, Jacob",CU,120.3,234
656548,"Holloway, Jordan",SL,120.3,272
657585,"Garrett, Reed",ST,120.2,424
605400,"Nola, Aaron",KC,120.2,4739
500610,"Guerra, Deolis",CH,120.1,336
663556,"McClanahan, Shane",CH,120.1,1549
677952,"Ashcraft, Braxton",SL,120.0,602
679885,"Martinez, Justin",SL,120.0,255
605483,"Snell, Blake",CH,120.0,1651
669203,"Burnes, Corbin",FC,119.9,6911
688158,"Morgan, David",FF,119.9,364
656945,"Scott, Tanner",FF,119.9,2911
680570,"Rodriguez, Grayson",CH,119.9,888
607188,"Faria, Jake",FS,119.8,131
670970,"Morejon, Adrian",SI,119.7,1291
657044,"Thompson, Ryan",SI,119.7,2074
445276,"Jansen, Kenley",FC,119.7,3512
595345,"Okert, Steven",SL,119.6,2938
605194,"Cotton, Jharel",CH,119.6,463
622088,"Antone, Tejay",CU,119.6,188
687330,"Kelly, Kevin",SI,119.5,1703
643256,"Cimber, Adam",SI,119.5,943
676617,"O'Brien, Riley",SI,119.4,694
691587,"Pérez, Eury",CU,119.3,446
683618,"Henriquez, Edgardo",FC,119.3,53
681911,"Vesia, Alex",FF,119.1,3372
621345,"Minter, A.J.",FC,119.1,1555
608371,"Sims, Lucas",SL,119.1,281
608665,"Graveman, Kendall",CU,119.1,50
621242,"Díaz, Edwin",FF,119.1,2250
674384,"Núñez, Eduarniel",SL,119.1,88
519293,"Smith, Will",SL,119.0,1777
554340,"García, Yimi",FF,118.9,1654
608337,"Giolito, Lucas",CH,118.9,3164
641401,"Brogdon, Connor",CH,118.7,1405
545333,"Bauer, Trevor",FC,118.7,372
689958,"Walters, Andrew",FF,118.7,134
694795,"Ekness, Josh",FF,118.5,57
595014,"Treinen, Blake",FC,118.5,546
605488,"Springs, Jeffrey",CH,118.5,2162
519151,"Pressly, Ryan",CU,118.5,1210
678692,"Henriquez, Ronny",FF,118.4,433
519043,"Moore, Matt",CH,118.3,984
456713,"Bush, Matt",FF,118.3,540
664123,"Effross, Scott",SI,118.2,446
687863,"Hodge, Porter",SL,118.1,105
656546,"Hoffman, Jeff",SI,118.1,286
592779,"Stewart, Brock",FF,118.0,651
663158,"Suarez, Robert",SI,118.0,645
518886,"Kimbrel, Craig",FF,118.0,3186
607259,"Martinez, Nick",CH,118.0,2224
691799,"Taylor, Grant",SL,117.9,89
801139,"Tolle, Payton",FF,117.9,445
676272,"Miller, Bobby",SI,117.8,614
669203,"Burnes, Corbin",CU,117.8,2473
518553,"Cishek, Steve",FF,117.8,573
448281,"Doolittle, Sean",FF,117.8,702
521230,"Hendriks, Liam",FF,117.7,1492
681293,"Arrighetti, Spencer",CU,117.6,849
664854,"Helsley, Ryan",FF,117.6,2317
696149,"Chandler, Bubba",FF,117.6,661
669373,"Skubal, Tarik",CH,117.6,2897
621237,"Alvarado, José",FC,117.6,1663
690829,"Joyce, Ben",FF,117.5,402
542881,"Anderson, Tyler",CH,117.5,4169
666711,"Peguero, Joel",SI,117.5,108
645261,"Alcantara, Sandy",CH,117.5,3301
677161,"Kelly, Zack",CH,117.4,419
662253,"Muñoz, Andrés",SL,117.4,2399
658551,"Fernández, Junior",SI,117.3,138
641386,"Bowden, Ben",CH,117.3,124
689672,"Thorpe, Drew",CH,117.2,256
518585,"Cruz, Fernando",FS,117.2,1655
628711,"Urías, Julio",SV,117.1,2510
521230,"Hendriks, Liam",SL,117.0,594
664208,"Maton, Phil",CU,117.0,1941
676962,"Brown, Ben",KC,117.0,1267
676272,"Miller, Bobby",CH,116.9,541
623149,"Sewald, Paul",FF,116.9,2656
683618,"Henriquez, Edgardo",FF,116.9,309
801403,"Dollander, Chase",SI,116.9,393
642233,"Yardley, Eric",SI,116.8,228
641927,"Ober, Bailey",CH,116.8,2867
668674,"Erceg, Lucas",SI,116.8,886
623433,"Anderson, Nick",CU,116.7,606
519151,"Pressly, Ryan",SL,116.7,1580
595897,"Burdi, Nick",FF,116.7,151
450203,"Morton, Charlie",CU,116.6,5738
683618,"Henriquez, Edgardo",SL,116.5,85
592222,"Claudio, Alex",SI,116.5,197
657746,"Ryan, Joe",FF,116.5,6133
678495,"Rodríguez, Randy",FF,116.4,875
679883,"Avila, Luinder",CU,116.4,70
